时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-10-27,东超科技,先进制造,A+轮,3500万人民币,伟时电子,17500,先进制造、军工制造、新材料,东超科技是一家可交互空气成像技术研发商，致力于空气成像技术的研发与生产，其主要研发成果为非等效负折射率材料，整合中科院安徽光机所和中科院西安光机所两大精密光学研究所对空气成像进行联合研发和生产，可以用在军工安全，车载显示，医疗成像，智能家电，广告和展览展示等领域。,韩东成 创始人 韩东成，东超科技创始人，具有多年相关行业经验。 范超 创始人 范超，安徽省东超科技有限公司创始人 
2021-10-26,亘元生物,传统制造,战略投资,未透露,宁德时代,50000,传统制造、化工产业、新材料,"亘元生物是一家锂电池电解液添加剂研发商，经营范围包括专用化学产品制造（不含危险化学品）；新材料技术研发；电子专用材料制造；基础化学原料制造等。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-25,浦展科技,先进制造,天使轮,1000万人民币,偲享科技,5000,先进制造、新材料、新材料,"浦展科技是一家涂炭铝箔生产商，致力于生产新材料产品涂炭铝箔，该产品被应用于锂电池制造，对提升锂电池性能具有显著作用。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-21,海外华昇,先进制造,A轮,数千万人民币,"温氏投资, 文治资本, 如石财富",15000,先进制造、新材料、新材料,海外华昇是一家高精度微米及纳米级电子浆料研发商，主要产品：镍内电极浆料、铜端电极浆料。掌握了国际领先的制备高精度纳米级贱金属（铜、镍）电子浆料的核心技术，填补了国内空白，实现了进口替代，打破了国外企业长期以来对高端电子浆料的垄断，满足了国内多层陶瓷电容器（MLCC）企业原材料国产化的迫切需求。,陈将俊 董事长 陈将俊，海外华昇董事长。 
2021-10-20,新承航锐,先进制造,战略投资,1.5亿人民币,"红马资本（领投）, 云晖资本",75000,先进制造、新材料、新材料,新承航锐是一家金属锻件生产商，专业从事高端金属锻件研发、生产和销售。主营产品涵盖辗制环形锻件、自由锻件、模锻及精密铸造等各类钛合金、铝合金、高温合金等高端金属构件，应用于航空航天、军工、燃气轮机、核电、船舶、电力等多个行业领域。公司同时具备自由锻、模锻、环锻全种类锻造工艺，可加工材料数量超300种，是国内锻造加工能力最全面的企业之一。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-20,西湖未来智造,先进制造,Pre-A轮,数亿人民币,"红杉资本中国（领投）, 指数资本, 华登国际",150000,先进制造、新材料、新材料,西湖未来智造以精密增材制造技术为核心，基于先进功能材料和三维集成技术方面的优势，提供为客户量身定制的电子增材制造解决方案。公司自主开发的1-10微米精度电子3D打印设备及与之配套的材料体系，可实现数十种高性能金属导电材料、聚合物及陶瓷基介质材料的精密三维增材制造。目前，西湖未来智造已与全球多家集成电路行业企业开展业务合作， 以新型加工技术助力电子产业升级。,周南嘉 创始人 周南嘉，创始人，美国西北大学材料科学与工程博士， 哈佛大学3D打印领域国际领军人物Jennifer A. Lewis组博士后，拥有15年国内外科研院所科研、产业合作经验，带领团队通过研发全新的 3D 打印功能材料和超高精度 3D 打印设备与工艺，实现微米级别的多材料电子3D打印技术。 
2021-10-19,华联瓷业,生产制造,IPO上市,5.9亿人民币,,236000,传统制造、轻工制造、新材料,华联瓷业产品以色釉陶瓷、釉下五彩瓷等日用陶瓷为主，秉承“日用陶瓷艺术化，艺术陶瓷生活化”的产品理念，客户遍布全球40多个国家或地区。华联瓷业致力于陶瓷产业与陶瓷文化的完美结合，用科技革新传统产业，形成了以色釉陶瓷、釉下五彩瓷、电瓷和陶瓷新材料四大系列产品为主的陶瓷产业体系。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-19,同益中,先进制造,IPO上市,2.533亿人民币,,101300,先进制造、新材料、新材料,同益中是专业从事超高分子量聚乙烯纤维和包括PEUD，芳纶UD和防弹制品的复合材料的研究开发和生产销售的国家高新技术企业，优秀院士专家工作站，北京市企业技术中心和北京市专利示范单位。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-15,纳研纳米,先进制造,天使轮,数千万人民币,元航资本,15000,先进制造、新材料、新材料,"纳研纳米是一家纳米钎焊材料研发商，共同研发成功的纳米钎焊材料产品和制备工艺技术项目，为我国的航天航空、高精密电子设备、微波通讯载荷、相控阵天线、大功率电子设备、光电一体化装备和载荷、电真空器件的加工装配提供了全新的、高效的、性价比更高实现手段和方法，将会对目前在这些应用领域采用的传统工艺方法带来革命性的改变。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-11,海容材料,先进制造,Pre-A轮,数千万人民币,零度资本（领投）,15000,先进制造、新材料、新材料,"海容材料是一家微纳封装材料研发商，专注于电子器件与显示的微纳封装材料研发和产业化，主要为电子硬件提供封装防护技术整体解决方案以提升其可靠性与稳定性。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
