时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-03-18,东岛新能源,传统制造,战略投资,未透露,基石资本,50000,传统制造、化工产业、新材料,东岛新能源是一家电池材料生产商，主要从事锂离子动力电池负极材料、正极材料、锂电池电解质材料、动力电池负极包覆材料等产品的生产，致力于为用户提供一体化的锂电池整体制造方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-17,腾远钴业,先进制造,IPO上市,54.78亿人民币,,2191200,先进制造、新材料、新材料,腾远钴业是一家钴系列产品生产商，公司主要产品包括碳酸钴、氧化钴、草酸钴、高纯硫酸钴、电池级碳酸钴、电池级四氧化三钴、阴极铜等，产品广泛应用于动力电池材料、工业催化剂等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-16,斯瑞新材,先进制造,IPO上市,4.193亿人民币,,419200,先进制造、新材料、新材料,斯瑞新材料是一家主打金属基复合新材料细分市场的技术公司，专注于铜铬电真空触头材料、铜钨系列触头材料及复合触头材料、高导高强铬锆铜系列合金材料、铜铁系列合金材料及其它特殊铜合金材料的研发和制造。,王文斌 创始人 王文斌，斯瑞新材料创始人、董事长。1991年从西安交通大学金属材料专业毕业，进入国有企业，成为一名实习技术员。短短1年时间，他就转岗成为厂办技术秘书，而后离职创立了陕西斯瑞新材料股份有限公司。 
2022-03-14,星恒电源,先进制造,战略投资,9.5亿人民币,深创投,475000,先进制造、新能源、制造业,星恒电源股份有限公司成立于2003年12月，注册资金2.62亿元人民币。公司专注于以锰酸锂为正极材料的动力锂电池的开发，生产和销售，年产能5GWh，是国内知名的动力锂电池高新技术企业。通过15年的科技成功转化，星恒已为全球800万终端用户、4.5万多辆电动汽车提供产品和服务，并为全球新能源汽车提供动力电源解决方案。,陈立泉 创始人 陈立泉，星恒技术创始人，中科院与星恒联合实验室负责人；中国工程院院士，中国唯一的电池领域院士；曾荣获国家自然科学一等奖和国家有突出贡献中青年专家称号，发表论文200余篇，申报专利60余项；在国内首先研制成功锂离子电池，建成我国第一条锂离子电池中试生产线；为我国锂电池的研究、开发和产业化群体的形成奠定了坚实的基础。 黄学杰 首席科学家 黄学杰，星恒首席科学家，星恒创始人，中国锂电池的领军人物，中国科学院物理研究所研究员；1993年毕业于荷兰Delft技术大学获博士学位，代表物理所锂离子电池研究方面在国际期刊发表多篇论文；承担“863”新材料领域“锂离子电池关键材料”项目和“863”电动汽车重大专项“车用动力型锂离子电池”项目。 
2022-03-14,聚赛龙,传统制造,IPO上市,3.586亿人民币,,143300,传统制造、化工产业、新材料,"公司主要产品为改性塑料,包括填充类改性塑料、增强类改性塑料、阻燃改性塑料、塑料合金及其它产品。改性塑料是将树脂通过物理、化学、机械的方法,改善或增加其功能,在电、磁、光、耐老化、阻燃、力学性能等方面达到特殊环境条件下使用标准的高分子复合材料。",郝源增 董事长 毕业于北京石油化工学院化学工程专业，本科学历，教授级高级工程师，广州市优秀科技专家，广州市标准化专家，全国塑料标准化技术委员会工程塑料分技术委员会（SAC/TC15/SC9）委员，全国塑料标准化技术委员会改性塑料分技术委员会（SAC/TC15/SC10）委员。1983年3月至1988年1月，就职于中石化北京燕化树脂应用研究所任助理工程师；1988年1月至1995年1月，就职于中石化北京燕化研究所任工程师兼课题组长。 
2022-03-11,海外华昇,先进制造,B轮,1亿人民币,"同创伟业（领投）, 温氏投资（领投）, 追远创投, 斯迪克",50000,先进制造、新材料、新材料,海外华昇是一家高精度微米及纳米级电子浆料研发商，主要产品：镍内电极浆料、铜端电极浆料。掌握了国际领先的制备高精度纳米级贱金属（铜、镍）电子浆料的核心技术，填补了国内空白，实现了进口替代，打破了国外企业长期以来对高端电子浆料的垄断，满足了国内多层陶瓷电容器（MLCC）企业原材料国产化的迫切需求。,陈将俊 董事长 陈将俊，海外华昇董事长。 
2022-03-10,道博新材,先进制造,战略投资,未透露,"中信证券, 中科创星",50000,先进制造、新材料、新材料,道博新材是一家复合材料研发商，集复合材料研发、生产、销售和服务于一体，以复合材料成型关键技术为基础，开展航空复合材料复杂构件设计、模具设计、生产工程化及专用装备业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-10,中体新材,先进制造,A轮,千万级人民币,云松投资,5000,先进制造、新材料、新材料,中体新材是一家3D打印铝合金粉末材料供应商，公司产品包括铁基粉末、铝基粉末、镍基粉末、钴基粉末、钛基粉末、铜基粉末等，能够满足选区激光烧结（SLS）、直接金属激光成形（DMLS）、选区激光熔化（SLM）、电子束熔化（EBM）、激光熔敷沉积（LMD），粉末粘接（Bind Jetting)等多种3D打印技术以及注射成型，粉末冶金等方面的应用，拥有多条全自动3D打印雾化生产系统，可提供增材制造用粉达3500吨。此外公司研发了纳米合金粉、新能源材料粉、轻量化材料粉、液态金属等高新技术产品，并申请了众多相关专利。,沈宝祥 CEO 沈宝祥，中体新材CEO。 
2022-03-09,芜湖佳纳能源,先进制造,战略投资,14.7亿人民币,"芜湖科投, 前湾基金, 安泰基金, 银湖实业",1154846,先进制造、新材料、大公司新产品,芜湖佳纳能源是道氏技术旗下锂电材料三元前驱体业务的运营公司，主要做三元前驱体及其配套业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-08,协鑫能科,先进制造,IPO上市后,37.65亿人民币,"财通基金, 中信证券, JPMorgan摩根大通, 诺德基金, 广发证券, 博芮投资, 蜀道集团, 贵阳产控集团, 创朴新材料, 兴联城投资, 信达慧理财, 银河资本, 扬子江船业",1882500,先进制造、新能源、新材料,协鑫能科是一家移动能源服务商，系协鑫（集团）控股有限公司旗下控股企业。公司聚焦换电站一体化解决方案、换电站运营及能源服务、电池梯次利用三大业务。为用户提供清洁能源生产的电、热、冷等能源产品，同时稳步开展综合能源服务，为用户提供配售电、储能、能效管理、能源大数据等服务，独创“源-网-售-用-云”能源互联新模式，为用户提供智慧能源服务及一体化综合能源解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-03,晶湛半导体,先进制造,B+轮,数亿人民币,"歌尔微电子（领投）, 高瓴创投, 惠友资本, 创新工场, 三七互娱, 中信证券, 元禾控股, 湖杉资本, 禾创致远, 共青城军合, 无限基金",150000,先进制造、新材料、农业,晶湛半导体是一家氮化镓外延材料制造商，主要有硅基、蓝宝石基和碳化硅基氮化镓外延片等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-03,鸿鹄骥航,先进制造,天使轮,数千万人民币,清科创投,15000,先进制造、新材料、新材料,"鸿鹄骥航是一家功能性涂层产品生产商，致力于研发生产和销售功能性涂层。并在耐腐蚀防除冰的基础上，开发减阻功能，并输出至多个应用领域。该涂层采用新型疏水材料，在疏水性、附着力、耐腐蚀、抗撞击等综合性能表现优越，在工艺和功能上领先进口产品。应用该涂层后，材料表面结冰时间将得到延长，结冰量也大大减少，同时附着的冰也会更易除去。
",方戟 创始人 方戟，鸿鹄骥航创始人。 
2022-03-02,星起源,先进制造,天使轮,未透露,"英诺天使基金, 华创资本",500,先进制造、新材料、新材料,星起源是一家新材料研发制造商，专注于电磁与热防护材料领域，致力于成为面向军民两用市场的领军型平台级新材料公司。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-02,Mi Terro,先进制造,天使轮,数百万美元,Astanor Ventures（领投）,9750,先进制造、新材料、新材料,"Mi Terro是一家新材料合成生物研发商，通过“食物蛋白提取保鲜膜”专利技术，其生产的包装材料最后可在自然界完全降解，也可以180天内在工业级别环境实现完全降解，且不会对土壤造成污染。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-01,艾迪奥,先进制造,战略投资,未透露,深圳高新投,50000,先进制造、电子设备、新材料,艾迪奥是一家磁芯产品研发制造商，主要生产、研发和销售各类锰锌和镍锌软磁铁氧体（功率、低功耗、高磁导率、高DC-Bias、高阻抗等）磁芯及相关电子元器件，同时还可根据客户特殊要求，设计和生产各种类型的磁芯产品。产品广泛应用于网络通讯、绿色照明、汽车电子、电器、环保等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-28,中科国生,先进制造,天使轮,数千万人民币,"君盛投资（领投）, 君联资本, 碧桂园创投",15000,先进制造、新材料、新材料,"中科国生是专业从事呋喃类生物基材料设计和开发的高科技企业。原创性的开发出了HMF的固定床连续化生产工艺并实现了千吨级规模的工业生产，相比市场上传统的间歇釜式工艺而言具有生产效率高、规模化程度高、生产成本低、产品质量稳定可靠等特点。目前，公司还打通了从HMF到下游衍生物单体和终端产品的全技术链条，开发出的2,5-呋喃二甲酸（FDCA）、2,5-四氢呋喃二甲醇（THFDM）和聚呋喃二甲酸乙二醇酯（PEF）等产品，并在高性能生物基聚酯材料、生物基油品和生物基表面活性剂等领域得到了广泛应用。",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-22,Porotech,先进制造,A轮,2000万美元,"阿米巴资本（领投）, SpeedInvest, Samsung Ventures三星, 弘晖资本",65000,先进制造、新材料、新材料,"Porotech是一家多孔氮化镓半导体材料开发商，主要研发可量产的多孔GaN材料，用于开发轻量化、高效的RGB MicroLED显示屏，优化AR/VR头显等设备的显示效果。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-17,泰吉诺,先进制造,A+轮,未透露,英诺天使基金,10000,先进制造、新材料、新材料,泰吉诺旨在提供芯片层级用电子材料整体解决方案，专注于研发、制造、销售高端导热界面材料（TIM1、TIM1.5&TIM2）、导热吸波复合材料，为客户提供一体化解决方案，解决电子行业产品“热点”及“痛点”问题，产品包含导热垫片、导热绝缘片、导热单/双组份凝胶、导热脂、导热相变化材料、液态金属材料、导热吸波复合材料，产品广泛应用于电信、数据通讯、手机、计算机、通用电子装置、网络设备、航空航天、国防、汽车电子以及医疗设备等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-17,扑浪量子,先进制造,天使轮,5000万人民币,"中科创星, 拓金资本",25000,先进制造、集成电路、新材料,扑浪量子是一家半导体纳米新材料技术服务商，致力于半导体量子点发光材料、新型量子点显示和半导体薄膜工艺设备的研发、生产与销售，可广泛应用于光电子、微电子、新型显示、第三代半导体、传感器、生命科学、材料科学等领域。,孙小卫 创始人 孙小卫，扑浪量子创始人。 
2022-02-17,朝上科技,先进制造,天使轮,未透露,红杉种子基金,500,先进制造、新材料、新材料,朝上科技是一家智能新材料应用产品研发商，以智能新材料应用技术为核心，提供车辆智能悬架、精密仪器微振动控制、机器人灵巧硬件等整体技术解决方案。,徐涵欧 创始人 徐涵欧，朝上科技创始人。 
2022-02-15,Gauzy,先进制造,D轮,6000万美元,"Ibex Medical Analytics（领投）, Olive Tree VC, Blue Red Partners, Waarde Capital, Avery Dennison, 3A Capital, Walleye Capital, Klirmark, Davidson Capital",195000,先进制造、新材料、新材料,Gauzy是一家以色列纳米技术及产品研发商，主要生产光控玻璃技术产品，Gauzy的产品能够对车辆照明主动监控控制，利用动态遮阳技术，让车窗变亮或变暗。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-09,江苏三杰,先进制造,战略投资,未透露,长虹能源,50000,先进制造、新能源、环保,江苏三杰是一家锂电池产品研发生产商，定位在18650圆柱形动力锂离子电池领域，致力于高品质高端锂电池的开发和应用。,杨清欣 董事长兼总经理 在“泰州市第四届创业富民大赛”中喜获“十佳创业标兵”称号。 
2022-02-08,飞泽科技,先进制造,战略投资,数亿人民币,中国石化,150000,先进制造、新材料、新材料,飞泽科技是一家碳纤维/玻璃纤维复合材料生产企业，专注为汽车、风电、轨道交通、民用航空等领域客户提供包含结构设计、模拟分析、材料研发、工艺试制、试验验证、量产交付在内的全流程解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-08,墨睿科技,先进制造,B轮,1亿人民币,"越秀产业基金（领投）, 晨道资本",50000,先进制造、新材料、新材料,"墨睿科技是一家石墨烯等先进材料应用开发商，以石墨烯产业应用研发为主导，墨睿科技围绕石墨烯锂电池电极材料、石墨烯复合散热材料、石墨烯显示触控屏、石墨烯晶体管等产业方向，通过石墨烯上下游应用技术研发与应用产品示范推广，为新材料应用企业提供技术支撑，为下游产业提供产品解决方案，构筑以应用企业为主体，产学研相结合的产业链集群。
",蔡金明 创始人 蔡金明，墨睿科技创始人，博士自2005年起一直从事石墨烯材料的研究，并在2015年回国创立了墨睿科技。2003年获北京大学物理学系学士学位，2009年获中国科学院物理研究所博士学位。2008年到美国橡树岭国家实验室做访问学者一年，2009年到2014年在瑞士联邦材料科学与技术研究所做博士后。昆明理工大学材料科学与工程学院教授，博士生导师，长期从事石墨烯等低维纳米材料的制备与物性研究。 
2022-02-07,Power Roll,先进制造,战略投资,600万英镑,Greenwood Way Capital,66000,先进制造、新材料、新材料,Power Roll是一家英国超薄太阳能电池膜生产商，这种电池薄的厚度只有0.1毫米，但其转化效率却比当前的光伏电池高20倍，可以广泛用于建筑物上和其他需要电能的交通工具及便携式装备上，并且其发电成本极低，每瓦的生产成本只有0.03美元。同时，它的生产工艺也大为优化，能够满足大规模制造的需要。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-28,古鑫元硅材料,先进制造,A轮,未透露,瑞华控股,10000,先进制造、新材料、新材料,古鑫元硅材料是一家颗粒硅生产商，专注于颗粒硅的研发、生产、销售及相关配套新能源业务，为用户提供具有自主知识产权的FBR法颗粒硅、高纯纳米硅等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-28,铂韬新材料,先进制造,A轮,未透露,"武岳峰资本, 航天科工资产, 君子兰资本",10000,先进制造、新材料、新材料,铂韬新材料是一家电子材料研发商，自主研发和生产电磁兼容、屏蔽、导热及半导体封装类新材料产品，专业涉及磁性材料、陶瓷材料、石墨烯材料、高性能膜材料、高分子有机合成等多学科领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-27,凡赛特,先进制造,B+轮,未透露,云泽资本（领投）,15000,先进制造、新材料、新材料,凡赛特是一家光学胶产品研发生产商，专注于光学胶产品的研发、生产及销售。公司光学胶生产设备来自日本，专利技术来源于日立化成株式会社，其光学胶产品及技术先进，品质卓越，产品主要应用于液晶显示器的背光模组，电视机、手机、平板电脑、电子书终端等显示触摸屏。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-26,惟怡科技,先进制造,A轮,数千万人民币,中泰证券,15000,先进制造、新材料、新材料,惟怡科技是一家功能性光学薄膜制造商，该公司提供量子点薄膜、量子点增强膜(QDEF®)、扩散膜、量子点粉体，将纳米显示技术应用于高清液晶显示等方面，致力于打造量子点纳米材料。,魏海燕 CEO 魏海燕，惟怡科技CEO。 
2022-01-26,爱思达,先进制造,战略投资,数亿人民币,"深创投（领投）, 天创资本, 中车资本",150000,先进制造、新材料、新材料,爱思达专注于轻质化结构机构、功能机构及其新材料的研发设计与生产制造，致力于成为航空航天领域轻质化结构机构、功能机构产品的创新引领者。公司为合作伙伴提供 技术先进、质量可靠、成本优化 的复合材料结构机构设计、研发及生产服务，定位为面向多产业的复合材料及其结构件供应商和专业支撑服务平台。,张毅 董事长 张毅，爱思达董事长。 
2022-01-25,奕东集团,先进制造,IPO上市,19.71亿人民币,,869700,先进制造、新材料、新材料,奕东集团是一家服务于电子信息和新能源产业的大型高科技集团控股企业，秉承“专注精密制造”的工匠精神，提供精密冲压件和塑胶件及其精密模具、各种表面处理、背光源、FPC及其补强板、和新能源精密结构件等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-24,梦之墨,先进制造,B+轮,数千万人民币,"北创投, 中芯科技",15000,先进制造、新材料、新材料,梦之墨是一家液态金属电路3D打印机研发商，公司主要产品为液态金属桌面电子电路打印机等制造装备，在电子工业、设计开发、文化创意、教学科研与艺术创作等领域广泛应用。,刘静 创始人兼CEO 清华大学教授，中国科学院理化技术研究所双聘研究员，长期从事室温液态金属与生物传热学研究 陈柏炜 总经理 北京梦之墨科技有限公司总经理，近十年科技项目研发及成果转化工作经验。 于洋 研发副总裁 于洋，北京梦之墨科技有限公司研发副总，清华大学工学博士，发表国内外知名学术刊物论文16篇。 
2022-01-21,国鸿氢能,先进制造,战略投资,未透露,昌发展,50000,先进制造、新材料、电池,国鸿氢能是一家燃料电池生产商，公司主要产品包括氢燃料电池商用车、纯氢燃料备用电源、氢燃料电池电堆、燃料电池发动机等，产品广泛应用于各种车型、无人机、汽车交通、分布式电站等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-19,斯威克,先进制造,战略投资,未透露,朝希资本,50000,先进制造、新材料、新材料,斯威克是一家光伏封装胶膜供应商，主要向光伏组件厂商供应光伏封装胶膜，该产品是光伏电池的核心非硅辅料，包括透明EVA胶膜、白色EVA胶膜、POE胶膜等高性能光伏封装胶膜及反光贴膜。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-17,微构工场,先进制造,A轮,2.5亿人民币,"国家混改基金（领投）, 国中创投-国家中小企业发展基金, 国富绿景创投GRC, 众海投资, SEE Fund无限基金, 红杉资本中国, 临空兴融",125000,先进制造、新材料、新材料,微构工场是一家PHA生物材料研发商，该公司涵盖用合成生物法生产可生物降解的医疗级聚羟基脂肪酸酯，研发、生产、销售基于聚羟基脂肪酸酯的医疗器械、医用植入材料、医用耗材、3D打印材料等业务，主要包括标准级PHA mP34HB 10、PHA产品、3-羟基丁酸产品。,陈国强 创始人 陈国强，微构工场创始人、董事长。清华大学生命科学学院教授，博士生导师。清华大学合成与系统生物学中心主任，教育部长江学者。本科毕业于华南理工大学应用化学系。一直致力于微生物合成高分子材料PHA（聚羟基脂肪酸酯）的研究。 
2022-01-14,纳金科技,先进制造,B轮,1亿人民币,"越秀产业基金, 大横琴创新发展（领投）, 格力金投",50000,先进制造、新材料、新材料,纳金科技是一家柔性电子材料研发商，专注于以纳米银线为核心的柔性透明导电技术，提供从上游的纳米银材料、纳米透明导电浆料、图形化透明导电薄膜、到下游产品的整体解决方案。,雷震 董事长兼总经理 雷震，珠海纳金科技有限公司董事长兼总经理 
2022-01-14,烯宇新材,先进制造,A轮,1亿人民币,"敦鸿资产, 三江资本, 国芯创投（领投）, 奥牛资本",50000,先进制造、新材料、新材料,"烯宇新材是一家纳米银材料研发商，主要从事研发、生产银纳米线以及提供基于银纳米线的柔性透明导电薄膜及触控模组全套解决方案，逐步实现柔性透明电极产业化，大尺寸电容屏和PDLC智能液晶调光膜产能化。
",周明 CEO 周明，烯宇新材CEO。 
2022-01-13,米格新材料,先进制造,A轮,未透露,"毅达资本, 弘厚资产",10000,先进制造、新材料、新材料,米格新材料主要经营范围为：石墨及碳素制品研发和销售。自营和代理各类商品及技术的进出口业务。产品涉及PAN基、沥青基、黏胶基、预氧丝纤维等系列，并拥有预氧化、碳化、石墨化到制品的完整生产能力，产品应用涉及太阳能光伏、真空烧结、热处理、半导体、航天航空等领域。,陈新华 创始人 陈新华，米格新材料创始人。 
2022-01-13,柔电芯云Rotex,先进制造,A轮,数千万人民币,"雅惠精准医疗基金（领投）, 高瓴投资, 海南满高, 海莱新创",15000,先进制造、新材料、新材料,柔电芯云Rotex是一家柔性生物电子及相关产品解决方案提供商，专注于柔性生物电子材料研发，结合微纳米加工与集成技术，生产纳米级柔性电子器件产品，应用于透皮给药导入、体表物理治疗、柔性电子植入物、生物电信号传感和力学信号传感等领域。,杨泽宇 创始人 杨泽宇，柔电芯云创始人、CEO。 郭仪 COO 郭仪，柔电芯云联合创始人、COO。前华为欧洲三个国家的市场营销主管；工作11年，丰富的商业及市场管理运作经验。 鲁南姝 董事长 鲁南殊，柔电芯云联合创始人、董事长。德克萨斯大学奥斯汀分校(UT-Austin)天普基金会特聘终身教授。全球TR35青年创新家、电子纹身发明人。 联合国教科文组织年度创新唯一最高奖。 麻省理工技术评论全球35位35岁以下创新家（TR35，2012）。 美国德州大学奥斯汀主校区工程力学系、生物医学工程系、电子与计算机工程系及材料学院助理教授，博士生导师；实验团队独立支配科研经费数百万美元，现同时承担达五项美国自然科学基金项目；研究成果多次发表在《科学》、《自然-材料》、《国家科学院会刊》等顶级国际学术刊物。共计发明专利2项，论文40余篇，被引用逾3000余次； MIT《技术评论》2012年度三十五位世界青年创新家（TR35）；联合国教科文组织2013年Netexplo数字创新论坛年度唯一特等奖；2014年度美国自然科学基金杰出青年 奖(NSFCAREER)；3M公司青年教授奖；多次被包括BBC，CNN，时代杂志，金融时报，美国国家博物院期刊Smithsonian）；美国国家公共广播（NPR）等主流媒体报道和采访。 
2022-01-13,星辉环材,先进制造,IPO上市,25.09亿人民币,,1076400,先进制造、新材料、环保,"星辉化学股份是一家塑料及合成树脂制造商。业务涵盖生产、加工、经营聚苯乙烯系列合成树脂等。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-12,天岳先进,先进制造,IPO上市,32.03亿人民币,,3357500,先进制造、新材料、新材料,山东天岳是一家第三代半导体碳化硅材料研发生产商，主要产品有4H-导电型碳化硅衬底材料、6英寸-导电型碳化硅衬底材料、4英寸高纯半绝缘衬底材料等，产品具有耐高压耐高频特点，可广泛应用于大功率高频电子器件、半导体发光二极管、通讯、物流网等领域。,宗艳民 董事长 宗艳民，山东天岳董事长兼经理。 
2022-01-10,蓝晶微生物,先进制造,B+轮,8.7亿人民币,"元生资本（领投）, 国家混改基金（领投）, 中平资本, 峰瑞资本, 碧桂园创投, 高瓴创投, 三一创新, 江苏黄海金融控股集团, 中州蓝海",522000,先进制造、新材料、新材料,蓝晶微生物是一家可降解塑料生产制造商，专注于将合成生物技术应用于分子和材料创新方向，通过使用合成生物学工具编程微生物，从而生产新的生物降解塑料产品并提升现有生物产品制造过程的效率，降低PHA的生产成本，并合成多种不同种类的PHA材料。,李腾 联合创始人兼总裁 清华大学合成生物学与生物材料博士。2019年，入选《财富》“中国40位40岁以下的商界精英”；入选《麻省理工科技评论》年度中国科技青年榜，第一届中国区“35岁以下科技创新35人榜单”。 张浩千 联合创始人兼CEO 北京大学整合生命科学（物理学方向）博士，前后在国际学术期刊发表研究论文20余篇。中国生物工程学会合成生物学专业委员会委员，《合成生物学》编委。2019年，入选《FastCompany》中国商业最具创意人物 100 榜单。 朱天择(已离职) 原联合创始人 朱天择，北京芝诺科技创始人、CEO。本科毕业于北京大学生命科学学院，博士毕业于牛津大学化学系，师从Kylie Vincent教授，研究方向涉及医疗小分子的生物催化，不对称合成等生物化学前沿交叉学科领域。回国后与清华大学北京大学知名学者共同创立北京蓝晶微生物科技有限公司，致力于生物催化技术的产业化，生产更加安全、环保、廉价的药物小分子等高附加值产品，公司是聚焦于微生物基因工程的平台型生物技术公司。 
2022-01-06,先导薄膜,先进制造,A轮,12亿人民币,"比亚迪（领投）, 中金资本（领投）, 中金启元, 中金佳泰, 明阳智能, 中国石化, 特变电工, 中财鼎晟",600000,先进制造、新材料、新材料,先导薄膜材料有限公司是先导集团下属子公司，致力于研发、生产、销售和回收真空镀膜用溅射靶材和蒸发材料。产品系列包括高纯金属、合金、贵金属及陶瓷材料所制成的靶材、锭、颗粒及粉末，被广泛应用于显示、光伏、半导体、精密光学、数据存储及玻璃等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-04,星辉新材,先进制造,A轮,未透露,"华睿投资（领投）, 坤泰资本",10000,先进制造、新材料、新材料,星辉新材是一家碳纤维复合材料研发生产商，专注于碳纤维复合材料的研发、生产和销售，是国内一家拥有碳纤维增强碳复合材料、碳纤维增强树脂复合材料完整生产链的科技型公司。现阶段聚焦于碳/碳复合材料及产品，主要应用于光伏行业的晶硅制造热场系统，公司终端出货厂商涵盖了国内排名前五的知名光伏单晶硅料生产商，在光伏单晶炉热场板材领域做到国内市占率第一。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-31,蓝沛新材料,先进制造,A+轮,4.1亿人民币,"一村资本（领投）, 无锡市惠山经济开发区政府基金, 上海宝鼎投资管理有限公司",205000,先进制造、新材料、新材料,"蓝沛新材料是一家电子材料及模组供应商，以电子印刷技术和特种柔性板制作技术为基础，为用户提供加成法FPC、大屏触控模组，以及半导体封装及模组板块等产品，业务领域涵盖无线充电器、接收端与发射端完整解决方案以及核心纳米晶软磁材料等。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-30,晶弘新材,先进制造,天使轮,5000万人民币,金沙江联合资本,25000,先进制造、新材料、新材料,晶弘新材主营产品是一种基于薄膜电路制程的高导热陶瓷封装基板。即在高导热的陶瓷基体上，采用薄膜金属化，影像转移及TCV（Through Ceramic Via）技术形成高密度双面布线及垂直互连，最后采用堆叠技术获得与陶瓷基体结合紧密的一体式3D金属框架。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-30,锦艺新材料,先进制造,战略投资,未透露,"中电基金（领投）, 晨道投资, 国发创投, 国投创业, 国新国同",50000,先进制造、新材料、新材料,锦艺新材料致力于提供高端无机非金属粉体新材料应用解决方案，是一家集研发、生产、销售、技术服务为一体的国家级高新技术企业。公司聚焦客户关注的压力和挑战，挖掘无机非金属材料的潜能，通过独有的核心技术和核心优势，融合各种有机材料，提供优异功能和低成本分体解决方案，大力拓展在新能源、新材料、环保节能等快速发展领域的应用。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-29,同光股份,先进制造,战略投资,数亿人民币,"长城汽车（领投）, 钧犀资本",380000,先进制造、新材料、新材料,同光股份(同光晶体)是一家半导体材料碳化硅衬底研发生产商，主要从事第三代半导体材料碳化硅衬底的研发和生产，主要产品包括4英寸N型碳化硅单晶、6英寸导电型碳化硅单晶、高纯半绝缘碳化硅衬底。,郑清超 创始人 郑清超，同光股份董事长；同光晶体创始人、董事长。此前经营着一家主营电力电子器件产品的公司，而后转身跨入第三代半导体核心材料——碳化硅行业。 
2021-12-29,长利新材,先进制造,Pre-IPO,数亿人民币,洪泰基金（领投）,150000,先进制造、新材料、新材料,长利新材是一家玻璃制造商，业务涵盖玻璃及玻璃深加工产品的生产、加工及销售等。现阶段公司重点自主研创超薄特种玻璃、新型双面发电光伏玻璃、节能汽车镀膜玻璃等多种新产品。已形成优质浮法玻璃、可钢LOW-E镀膜玻璃、加工玻璃、高强光伏玻璃四大品类，广泛用于建筑、汽车、光伏、制镜、电子、家电等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-28,超材信息,先进制造,A+轮,数千万人民币,"达晨财智（领投）, 源来资本, 允泰资本, 国富资本（领投）, 海南蓝芯",15000,先进制造、通信制造、新材料,超材信息是一家天线生产商，公司主要基于自有知识产权的超材料毫米波技术，为用户提供适装移动平台或基站应用的新型相控阵天线、全息超材料平板天线等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-27,驭能科技,先进制造,A轮,数千万人民币,"德联资本（领投）, 深圳担保集团, 青松基金, 北汽产投",15000,先进制造、新材料、新材料,驭能科技是一家新型软磁材料研发商，致力于纳米晶材料配方以及隔磁片工艺技术的开发，助力客户实现更大功率及更高效率的无线充电功能。基于纳米晶和胶黏剂的材料核心技术基础，驭能科技持续推出了不同形态的新型软磁材料，驭能科技的新产品还将逐步商业化应用于显示屏、通讯设备、电动汽车等行业，以先进的材料技术助力产业升级。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-24,长江材料,先进制造,IPO上市,4.545亿人民币,,210200,先进制造、新材料、新材料,长江材料是一家铸造材料生产商，致力于覆膜砂、再生砂、铸造辅料和压裂支撑剂四大系列，具体包括铸造用陶粒、喷墨3D打印砂、擦洗砂、焙烧砂、相变砂、压裂支撑剂等，广泛应用于汽车、摩托车、航空、铁路等零部件铸造领域。,熊鹰 董事长 熊鹰，重庆长江造型材料(集团)股份有限公司董事长。 
